visit_id,city,country,location_name,latitude,longitude,arrival_datetime,departure_datetime,duration_hours
1,Tokyo,Japan,Shinjuku Station,35.6896,139.7006,2025-09-01 09:00:00,2025-09-01 11:30:00,2.5
2,Tokyo,Japan,Senso-ji Temple,35.7148,139.7967,2025-09-01 13:00:00,2025-09-01 15:00:00,2.0
3,Tokyo,Japan,Shibuya Crossing,35.6595,139.7004,2025-09-01 17:00:00,2025-09-01 18:00:00,1.0
4,Kyoto,Japan,Fushimi Inari Taisha,34.9671,135.7727,2025-09-03 08:30:00,2025-09-03 11:00:00,2.5
5,Kyoto,Japan,Arashiyama Bamboo Grove,35.0094,135.6761,2025-09-03 13:00:00,2025-09-03 14:30:00,1.5
6,Osaka,Japan,Dotonbori,34.6687,135.5013,2025-09-05 18:00:00,2025-09-05 21:00:00,3.0
7,Bangkok,Thailand,Grand Palace,13.7500,100.4913,2025-09-08 09:00:00,2025-09-08 12:00:00,3.0
8,Bangkok,Thailand,Chatuchak Market,13.7999,100.5500,2025-09-08 14:00:00,2025-09-08 17:00:00,3.0
9,Chiang Mai,Thailand,Doi Suthep Temple,18.8047,98.9219,2025-09-10 09:00:00,2025-09-10 11:00:00,2.0
10,Chiang Mai,Thailand,Night Bazaar,18.7883,98.9933,2025-09-10 19:00:00,2025-09-10 22:00:00,3.0
