photo,date,purchase_contains,caption
IMG_6764,6/24/2026,udon curry bowl,Lunch/Breakfast udon curry bowl
IMG_6765,6/24/2026,yuzu lemon juice,Yuzu lemon juice from vending machine
IMG_6766,6/24/2026,orange juice,Bottled orange juice from FamilyMart.
IMG_6774,6/24/2026,gyoza,Pan-fried gyoza with a few side samples.
IMG_6776,6/24/2026,onigiri and dango,Onigiri and Dango from Lawson
IMG_6781,6/25/2026,green shell calzone,A green Koopa-shell calzone at Super Nintendo World.
IMG_6782,6/25/2026,izakaya food,Izakaya food
IMG_6799,6/27/2026,beef rice with miso soup and egg,Beef rice with miso soup and egg lunch
IMG_6807,6/27/2026,snacks and chocolates with onigiri,sncaks and chocolates with onigiri from Lawson
IMG_6831,6/28/2026,lemon health drink,Vitamin C lemon health drink from 7/11
IMG_6834,6/28/2026,ice cream parfait and snacks,Ice cream parfait and misc snacks from Lawson
IMG_6836,6/28/2026,chocolates to bring,A box of Japanese chocolates to bring home.
IMG_6837,6/28/2026,debloat drink combo,A combo of health drinks and jellys for debloating
IMG_6839,6/29/2026,moomin drink,A Moomin-branded white soda from Lawson.
IMG_6923,6/29/2026,strawberry mochi donut,Strawberry mochi donut from Mr. Donut
IMG_6924,6/29/2026,matcha icecream,Matcha icecream
IMG_6938,6/29/2026,onigiri and matcha scones,Onigi and matcha scones from Lawson
IMG_6953,6/30/2026,onigiri and chocolate bread,Onigiri and chocolate bread from FamilyMart
IMG_6954,6/30/2026,gyoza and dandan noodles,Gyoza and dandan noodles dinner
IMG_6962,7/1/2026,matcha shaved ice,matcha shaved icecream bowl
IMG_6965,7/1/2026,royce chocolates,3 Airport Royce chocolates and ice pack bag for hosting family
IMG_6967,7/1/2026,sandwich,Airport sandwich
IMG_6976,7/2/2026,passion fruit smoothie,Passion fruit ice smoothie from foodcourt
IMG_6977,7/2/2026,mango sticky rice,Mango sticky rice from food court
IMG_6979,7/2/2026,nice thai dinner,Nice Thai dinner
IMG_6980,7/2/2026,eczema cream,Eczema cream
IMG_7002,7/3/2026,seafood,A Thai seafood dinner in Pattaya.
IMG_7004,7/3/2026,health drinks w dessert,2 health drinks with ice cream and cake from 7/11
